seed,tasks,workers,noise_bound,policy,mean_wait,mean_completion,makespan,slot_utilization,prediction_mae
11,30,2,0.5,fcfs,34.899383476037315,41.45137998722683,100.3652331576261,0.979223029487629,1.8899303175287383
11,30,2,0.5,sjf,23.365547155690315,29.91754366687984,104.24409215457077,0.9427867386682747,1.8899303175287383
11,30,2,1.0,fcfs,34.899383476037315,41.45137998722683,100.3652331576261,0.979223029487629,3.7798606350574766
11,30,2,1.0,sjf,24.99923701019559,31.551233521385107,102.09212389229646,0.962659448357884,3.7798606350574766
12,30,2,0.0,fcfs,25.01683589001351,29.620658543409778,74.95497475757224,0.9213176313419753,0.0
12,30,2,0.0,sjf,15.925463588975976,20.52928624237224,73.10002487833005,0.9446965293908612,0.0
12,30,2,0.25,fcfs,25.01683589001351,29.620658543409778,74.95497475757224,0.9213176313419753,0.6536197477553627
12,30,2,0.25,sjf,16.173062457566772,20.77688511096304,72.13910061203276,0.9572802989648762,0.6536197477553627
12,30,2,0.5,fcfs,25.01683589001351,29.620658543409778,74.95497475757224,0.9213176313419753,1.3072394955107256
12,30,2,0.5,sjf,16.815325319967094,21.419147973363362,76.43032102480416,0.9035332950980622,1.3072394955107256
12,30,2,1.0,fcfs,25.01683589001351,29.620658543409778,74.95497475757224,0.9213176313419753,2.6144789910214508
12,30,2,1.0,sjf,17.844504657216177,22.448327310612445,77.02381142071906,0.8965713138205973,2.6144789910214508
13,30,2,0.0,fcfs,41.904822740535124,47.47596283563072,84.16854762149063,0.9928542643059313,0.0
13,30,2,0.0,sjf,18.85214416396864,24.423284259064225,87.94352473145887,0.9502359802112921,0.0
13,30,2,0.25,fcfs,41.904822740535124,47.47596283563072,84.16854762149063,0.9928542643059313,0.8506033685677112
13,30,2,0.25,sjf,19.134659664447614,24.705799759543204,88.5930909813969,0.9432688316968368,0.8506033685677112
13,30,2,0.5,fcfs,41.904822740535124,47.47596283563072,84.16854762149063,0.9928542643059313,1.7012067371354223
13,30,2,0.5,sjf,19.527533268838972,25.098673363934562,88.54929575157024,0.9437353591256759,1.7012067371354223
13,30,2,1.0,fcfs,41.904822740535124,47.47596283563072,84.16854762149063,0.9928542643059313,3.4024134742708445
13,30,2,1.0,sjf,22.63132829090461,28.2024683860002,88.0649027738386,0.9489262895235838,3.4024134742708445
14,30,2,0.0,fcfs,33.31613581395543,38.0520901966381,71.91030695241068,0.9878878112320242,0.0
14,30,2,0.0,sjf,17.08688814714474,21.82284252982741,76.74589810370453,0.925643161335432,0.0
14,30,2,0.25,fcfs,33.31613581395543,38.0520901966381,71.91030695241068,0.9878878112320242,0.6590737810650648
14,30,2,0.25,sjf,17.464114859031344,22.20006924171401,77.01380824315073,0.9224230999712694,0.6590737810650648
14,30,2,0.5,fcfs,33.31613581395543,38.0520901966381,71.91030695241068,0.9878878112320242,1.3181475621301295
14,30,2,0.5,sjf,17.745382057498734,22.4813364401814,77.33614528625196,0.9185784406152533,1.3181475621301295
14,30,2,1.0,fcfs,33.31613581395543,38.0520901966381,71.91030695241068,0.9878878112320242,2.6362951242602595
14,30,2,1.0,sjf,21.290428010821127,26.026382393503795,71.5811197088399,0.9924309095638106,2.6362951242602595
